Subscriber_id,Subscription_duration,Monthly_subscription_fee,Subscription_plan,Payment_method,Total_revenue,Subscription_cancelled,Status,Revenue_lost
5724-BIDBU,49,55.35,One year,Electronic check,2633.95,No,Active,0
0481-SUMCB,45,102.15,One year,Bank transfer (automatic),4735.35,No,Active,0
1769-GRUIK,18,71.10,Month-to-month,Electronic check,1247.75,No,Active,0
5240-IJOQT,1,74.70,Month-to-month,Electronic check,74.7,Yes,Churned,74.70
8819-WFGGJ,68,54.10,Two year,Bank transfer (automatic),3794.5,No,Active,0
7427-AUFPY,54,19.65,Two year,Credit card (automatic),1008.7,No,Active,0
2811-POVEX,23,88.45,Month-to-month,Bank transfer (automatic),2130.55,No,Active,0
1092-GANHU,17,76.65,Month-to-month,Electronic check,1313.55,Yes,Churned,76.65
7898-PDWQE,71,80.40,Two year,Credit card (automatic),5727.15,No,Active,0
9972-EWRJS,67,19.25,Two year,Bank transfer (automatic),1372.9,No,Active,0
9314-IJWSQ,14,84.80,Month-to-month,Electronic check,1203.9,No,Active,0
0661-XEYAN,1,25.80,Month-to-month,Mailed check,25.8,Yes,Churned,25.80
5799-JRCZO,63,19.50,Two year,Credit card (automatic),1215.1,No,Active,0
1921-KYSAY,41,68.60,One year,Electronic check,2877.05,No,Active,0
6198-RTPMF,17,92.60,Month-to-month,Electronic check,1579.7,No,Active,0
2924-KHUVI,56,100.55,One year,Electronic check,5514.95,No,Active,0
1925-GMVBW,5,20.55,Month-to-month,Credit card (automatic),96.1,No,Active,0
7881-EVUAD,2,42.60,Month-to-month,Electronic check,72.4,Yes,Churned,42.60
6184-DYUOB,3,19.60,Month-to-month,Mailed check,55.25,No,Active,0
9207-ZPANB,37,67.45,One year,Electronic check,2443.3,No,Active,0
5766-XQXMQ,29,68.85,Month-to-month,Bank transfer (automatic),1970.5,Yes,Churned,68.85
9327-QSDED,8,43.55,Month-to-month,Mailed check,335.4,No,Active,0
1656-DRSMG,63,109.85,Month-to-month,Credit card (automatic),7002.95,No,Active,0
3012-VFFMN,7,20.65,Month-to-month,Mailed check,158.95,No,Active,0
2984-AFWNC,3,95.40,Month-to-month,Electronic check,293.15,No,Active,0
0640-YJTPY,72,21.00,Two year,Bank transfer (automatic),1493.75,No,Active,0
8096-LOIST,19,56.20,Month-to-month,Electronic check,1093.4,No,Active,0
9764-REAFF,59,18.40,Two year,Bank transfer (automatic),1057.85,No,Active,0
3703-VAVCL,2,90.00,Month-to-month,Credit card (automatic),190.05,Yes,Churned,90.00
7107-UBYKY,35,25.75,Month-to-month,Electronic check,882.55,No,Active,0
4881-GQJTW,14,19.60,Month-to-month,Credit card (automatic),300.4,No,Active,0
8519-QJGJD,14,75.35,Month-to-month,Electronic check,1025.95,Yes,Churned,75.35
7876-DNYAP,69,19.80,Two year,Credit card (automatic),1436.95,No,Active,0
7905-NJMXS,7,64.20,Month-to-month,Electronic check,475,No,Active,0
2882-WDTBA,69,75.75,Two year,Bank transfer (automatic),5388.15,No,Active,0
2091-GPPIQ,72,78.95,Two year,Electronic check,5730.15,No,Active,0
6326-MTTXK,8,100.85,Month-to-month,Electronic check,819.55,Yes,Churned,100.85
5071-FBJFS,4,50.30,Month-to-month,Electronic check,217.1,No,Active,0
2796-UUZZO,63,80.30,Month-to-month,Credit card (automatic),4896.35,No,Active,0
2429-AYKKO,72,19.85,Two year,Bank transfer (automatic),1434.1,No,Active,0
9798-OPFEM,46,21.10,Two year,Electronic check,937.1,No,Active,0
0330-IVZHA,5,69.95,Month-to-month,Electronic check,330.15,Yes,Churned,69.95
3794-NFNCH,30,50.00,Month-to-month,Mailed check,1474.9,No,Active,0
5193-QLVZB,63,104.75,Two year,Bank transfer (automatic),6536.5,No,Active,0
7114-AEOZE,60,19.85,Two year,Bank transfer (automatic),1128.1,No,Active,0
2886-KEFUM,63,107.50,One year,Electronic check,6873.75,Yes,Churned,107.50
5522-NYKPB,25,85.90,Month-to-month,Electronic check,2199.05,No,Active,0
4237-RLAQD,1,45.85,Month-to-month,Mailed check,45.85,Yes,Churned,45.85
9957-YODKZ,6,80.80,Month-to-month,Electronic check,457.1,No,Active,0
6518-KZXCB,22,25.25,Two year,Mailed check,566.5,No,Active,0
2245-ADZFJ,31,80.55,Two year,Bank transfer (automatic),2471.6,No,Active,0
7776-QGYJC,39,81.50,Month-to-month,Bank transfer (automatic),3107.3,No,Active,0
9313-QOLTZ,26,20.90,Month-to-month,Mailed check,518.3,No,Active,0
9651-GTSAQ,53,106.10,One year,Bank transfer (automatic),5769.75,Yes,Churned,106.10
3186-BAXNB,1,91.70,Month-to-month,Electronic check,91.7,Yes,Churned,91.70
4672-FOTSD,12,67.25,Month-to-month,Electronic check,832.3,No,Active,0
0637-YLETY,16,95.60,Month-to-month,Credit card (automatic),1555.65,Yes,Churned,95.60
9818-XQCUV,2,20.35,Month-to-month,Mailed check,45.3,No,Active,0
7338-ERIVA,39,45.05,One year,Bank transfer (automatic),1790.6,No,Active,0
1157-BQCUW,1,74.95,Month-to-month,Electronic check,74.95,Yes,Churned,74.95
8259-NFJTV,7,34.65,Month-to-month,Mailed check,246.6,No,Active,0
3223-DWFIO,4,69.35,Month-to-month,Electronic check,261.65,No,Active,0
2660-EMUBI,10,95.35,Month-to-month,Electronic check,898.35,Yes,Churned,95.35
6968-GMKPR,55,81.55,Month-to-month,Electronic check,4509.5,No,Active,0
4751-ERMAN,72,75.40,Two year,Bank transfer (automatic),5480.25,No,Active,0
1436-ZMJAN,10,67.80,Month-to-month,Credit card (automatic),653.15,No,Active,0
3292-PBZEJ,11,111.40,Month-to-month,Electronic check,1183.05,No,Active,0
0799-DDIHE,15,46.30,Month-to-month,Electronic check,639.45,No,Active,0
3070-FNFZQ,23,20.40,Two year,Bank transfer (automatic),478.75,No,Active,0
2812-SFXMJ,1,20.05,Month-to-month,Mailed check,20.05,No,Active,0
7675-OZCZG,3,45.00,Month-to-month,Electronic check,127.1,Yes,Churned,45.00
5014-WUQMG,47,96.10,One year,Electronic check,4391.45,No,Active,0
5312-TSZVC,15,19.65,One year,Mailed check,270.6,No,Active,0
2003-CKLOR,66,99.50,Month-to-month,Electronic check,6710.5,Yes,Churned,99.50
0993-OSGPT,68,60.65,One year,Bank transfer (automatic),3975.9,No,Active,0
9254-RBFON,17,98.60,One year,Bank transfer (automatic),1704.95,Yes,Churned,98.60
1205-WNWPJ,7,59.50,Month-to-month,Mailed check,415.95,Yes,Churned,59.50
9391-EOYLI,12,80.45,Month-to-month,Electronic check,950.2,Yes,Churned,80.45
7108-DGVUU,21,71.70,One year,Bank transfer (automatic),1497.05,No,Active,0
2782-JEEBU,21,36.00,Month-to-month,Mailed check,780.15,No,Active,0
5127-BZENZ,56,65.20,One year,Bank transfer (automatic),3512.15,No,Active,0
2720-FVBQP,6,48.95,Month-to-month,Credit card (automatic),273.25,No,Active,0
9906-NHHVC,65,53.50,Two year,Bank transfer (automatic),3517.9,No,Active,0
4522-XRWWI,42,80.45,One year,Credit card (automatic),3375.9,No,Active,0
3766-EJLFL,68,109.05,Two year,Bank transfer (automatic),7508.55,No,Active,0
5939-SXWHM,48,26.30,Two year,Bank transfer (automatic),1245.05,No,Active,0
8152-UOBNY,50,106.80,One year,Electronic check,5347.95,No,Active,0
7351-KYHQH,7,64.95,Month-to-month,Electronic check,493.65,No,Active,0
7643-RCHXS,63,19.35,Two year,Electronic check,1263.85,No,Active,0
8246-SHFGA,17,21.10,Month-to-month,Credit card (automatic),385.55,No,Active,0
8387-MOJJT,42,77.95,Month-to-month,Credit card (automatic),3384,Yes,Churned,77.95
0620-XEFWH,4,18.85,Month-to-month,Mailed check,84.2,No,Active,0
6485-QXWWE,62,26.00,Two year,Bank transfer (automatic),1638.7,No,Active,0
2761-OCIAX,2,74.70,Month-to-month,Electronic check,165.4,Yes,Churned,74.70
7321-VGNKU,2,70.35,Month-to-month,Electronic check,120.25,No,Active,0
5327-CNLUQ,48,96.90,Two year,Bank transfer (automatic),4473.45,No,Active,0
7552-KEYGT,27,19.55,Two year,Bank transfer (automatic),520.55,No,Active,0
5816-JMLGY,70,80.40,Two year,Bank transfer (automatic),5717.85,No,Active,0
3068-OMWZA,1,88.80,Month-to-month,Electronic check,88.8,Yes,Churned,88.80
2927-QRRQV,46,94.65,One year,Electronic check,4312.5,No,Active,0
6032-KRXXO,30,90.25,Month-to-month,Electronic check,2755.35,Yes,Churned,90.25
7459-RRWQZ,15,64.65,Month-to-month,Bank transfer (automatic),994.55,Yes,Churned,64.65
6265-SXWBU,69,95.75,One year,Credit card (automatic),6511.25,No,Active,0
7941-RCJOW,65,19.55,Two year,Credit card (automatic),1218.65,No,Active,0
6374-NTQLP,72,104.10,Two year,Credit card (automatic),7447.7,No,Active,0
4154-AQUGT,13,89.05,Month-to-month,Bank transfer (automatic),1169.35,Yes,Churned,89.05
2387-KDZQY,17,20.10,One year,Mailed check,279.5,No,Active,0
3584-WKTTW,51,111.55,One year,Electronic check,5720.35,No,Active,0
3399-BMLVW,51,60.50,Two year,Credit card (automatic),3121.45,No,Active,0
1971-DTCZB,72,90.95,Two year,Bank transfer (automatic),6468.6,No,Active,0
3092-IGHWF,67,87.40,One year,Electronic check,5918.8,Yes,Churned,87.40
3374-PZLXD,34,19.70,Month-to-month,Mailed check,675.6,No,Active,0
3813-DHBBB,67,50.95,Two year,Bank transfer (automatic),3521.7,No,Active,0
2812-REYAT,49,20.05,One year,Bank transfer (automatic),923.1,No,Active,0
6518-PPLMZ,53,19.40,Two year,Mailed check,1110.35,No,Active,0
4939-KYYPY,27,59.45,Month-to-month,Electronic check,1611.65,No,Active,0
8017-LXHFA,23,94.75,Month-to-month,Electronic check,2293.6,Yes,Churned,94.75
5930-GBIWP,69,81.50,Two year,Credit card (automatic),5553.25,No,Active,0
6022-KOUQO,2,29.05,Month-to-month,Bank transfer (automatic),44.75,No,Active,0
6352-TWCAU,35,86.45,Month-to-month,Electronic check,3029.1,Yes,Churned,86.45
2361-UPSND,46,70.60,One year,Mailed check,3231.05,No,Active,0
6035-RIIOM,54,97.20,Two year,Bank transfer (automatic),5129.45,No,Active,0
2929-QNSRW,56,98.25,One year,Electronic check,5508.35,Yes,Churned,98.25
1262-OPMFY,9,75.75,Month-to-month,Bank transfer (automatic),655.9,Yes,Churned,75.75
9504-DSHWM,20,59.20,Month-to-month,Bank transfer (automatic),1191.2,No,Active,0
5035-BVCXS,11,75.90,Month-to-month,Mailed check,866.4,No,Active,0
6267-DCFFZ,30,90.05,Month-to-month,Electronic check,2627.2,No,Active,0
3533-UVMOM,68,70.95,Two year,Bank transfer (automatic),4741.45,No,Active,0
2439-LYPMQ,38,102.60,Month-to-month,Electronic check,4009.2,No,Active,0
4248-QPAVC,17,85.35,Month-to-month,Bank transfer (automatic),1463.45,Yes,Churned,85.35
1899-VXWXM,48,106.10,One year,Credit card (automatic),5082.8,Yes,Churned,106.10
1478-VPOAD,1,43.80,Month-to-month,Electronic check,43.8,No,Active,0
9995-HOTOH,63,59.00,Two year,Electronic check,3707.6,No,Active,0
2988-PLAHS,3,69.95,One year,Electronic check,220.45,No,Active,0
1371-OJCEK,48,24.35,One year,Bank transfer (automatic),1133.7,No,Active,0
4999-IEZLT,66,29.45,One year,Credit card (automatic),1983.15,No,Active,0
8883-ANODQ,68,84.40,Two year,Credit card (automatic),5746.75,No,Active,0
4690-LLKUA,17,45.05,Month-to-month,Electronic check,770.6,Yes,Churned,45.05
2351-RRBUE,7,20.65,One year,Mailed check,134.05,No,Active,0
5980-BDHPY,72,87.10,Two year,Bank transfer (automatic),6230.1,No,Active,0
1498-DQNRX,29,19.85,Month-to-month,Mailed check,573.05,No,Active,0
9469-WEJBT,37,90.35,Month-to-month,Electronic check,3419.3,No,Active,0
3331-HQDTW,34,109.80,Month-to-month,Mailed check,3587.25,Yes,Churned,109.80
9490-DFPMD,42,84.65,Month-to-month,Electronic check,3541.35,Yes,Churned,84.65
2581-VKIRT,59,65.50,One year,Mailed check,3801.3,No,Active,0
5442-XSDCW,11,79.50,Month-to-month,Bank transfer (automatic),868.5,Yes,Churned,79.50
7426-WEIJX,60,80.95,Month-to-month,Electronic check,4859.1,No,Active,0
2851-MMUTZ,27,56.15,Month-to-month,Mailed check,1439.35,No,Active,0
3049-NDXFL,1,85.80,Month-to-month,Mailed check,85.8,Yes,Churned,85.80
8580-AECUZ,1,79.10,Month-to-month,Electronic check,79.1,Yes,Churned,79.10
3307-TLCUD,17,34.40,Month-to-month,Mailed check,592.75,No,Active,0
6625-FLENO,58,20.75,Two year,Mailed check,1185.95,No,Active,0
2967-MXRAV,1,18.80,One year,Mailed check,18.8,No,Active,0
7963-GQRMY,3,44.30,Month-to-month,Mailed check,134.5,Yes,Churned,44.30
8189-HBVRW,53,90.80,Month-to-month,Electronic check,4921.2,No,Active,0
4163-KIUHY,35,25.60,Month-to-month,Electronic check,901.25,No,Active,0
1228-FZFRV,50,105.95,Month-to-month,Credit card (automatic),5341.8,Yes,Churned,105.95
3500-NSDOA,68,70.80,Two year,Credit card (automatic),4859.95,No,Active,0
1171-TYKUR,47,25.40,Month-to-month,Electronic check,1139.2,No,Active,0
3761-FLYZI,65,108.80,Month-to-month,Bank transfer (automatic),7082.45,No,Active,0
2058-DCJBE,5,69.75,Month-to-month,Electronic check,324.6,Yes,Churned,69.75
5364-XYIRR,51,94.65,Month-to-month,Electronic check,4812.75,Yes,Churned,94.65
4829-AUOAX,46,96.05,Month-to-month,Bank transfer (automatic),4399.5,Yes,Churned,96.05
1219-NNDDO,9,76.85,Month-to-month,Electronic check,663.55,No,Active,0
8388-DMKAE,8,20.25,Two year,Mailed check,174.65,No,Active,0
4403-BWPAY,14,24.80,One year,Credit card (automatic),321.7,No,Active,0
9659-QEQSY,45,115.65,Month-to-month,Electronic check,5125.5,No,Active,0
5405-ZMYXQ,8,74.60,Month-to-month,Credit card (automatic),548.9,No,Active,0
5047-LHVLY,1,50.15,Month-to-month,Mailed check,50.15,Yes,Churned,50.15
1442-OKRJE,66,103.15,One year,Bank transfer (automatic),7031.3,No,Active,0
4737-AQCPU,72,72.10,Two year,Credit card (automatic),5016.65,No,Active,0
9158-VCTQB,41,113.60,Month-to-month,Bank transfer (automatic),4594.95,Yes,Churned,113.60
2808-CHTDM,23,25.10,Two year,Mailed check,611.45,No,Active,0
6311-UEUME,29,78.90,Month-to-month,Electronic check,2384.15,Yes,Churned,78.90
0793-TWELN,4,80.15,Month-to-month,Electronic check,319.85,No,Active,0
3283-WCWXT,6,25.40,Two year,Mailed check,153.3,No,Active,0
1060-ENTOF,67,105.40,One year,Credit card (automatic),7035.6,No,Active,0
0999-QXNSA,7,45.75,Month-to-month,Mailed check,344.2,No,Active,0
5451-MHQOF,56,24.45,One year,Mailed check,1431.65,No,Active,0
4836-WNFNO,72,25.00,Two year,Credit card (automatic),1849.2,No,Active,0
9225-BZLNZ,72,85.25,Two year,Electronic check,6083.1,No,Active,0
0354-VXMJC,23,19.60,Two year,Credit card (automatic),426.65,No,Active,0
4422-QVIJA,35,50.15,Month-to-month,Mailed check,1655.35,No,Active,0
9365-SRSZE,27,70.55,Month-to-month,Electronic check,1943.9,No,Active,0
6839-ITVZJ,26,60.05,Month-to-month,Electronic check,1616.15,Yes,Churned,60.05
8332-OSJDW,12,26.40,One year,Mailed check,314.95,No,Active,0
4735-BJKOU,40,20.15,Two year,Mailed check,804.85,No,Active,0
0274-JKUJR,7,58.85,Month-to-month,Mailed check,465.7,No,Active,0
5740-YHGTW,70,97.55,Month-to-month,Credit card (automatic),6669.05,No,Active,0
8917-SZTTJ,60,19.65,Two year,Credit card (automatic),1161.75,No,Active,0
1696-MZVAU,39,25.25,One year,Credit card (automatic),947.75,No,Active,0
7359-WWYJV,72,114.45,Two year,Credit card (automatic),8375.05,No,Active,0
0375-HVGXO,1,34.70,Month-to-month,Electronic check,34.7,Yes,Churned,34.70
4906-ZHGPK,54,70.70,One year,Electronic check,3770,No,Active,0
8593-WHYHV,3,85.30,Month-to-month,Electronic check,264.8,Yes,Churned,85.30
3795-GWTRD,63,75.55,Two year,Credit card (automatic),4707.85,No,Active,0
1298-PHBTI,71,84.80,Two year,Electronic check,6152.4,No,Active,0
6223-DHJGV,42,20.65,One year,Mailed check,958.1,No,Active,0
6961-MJKBO,47,20.45,Two year,Bank transfer (automatic),943,No,Active,0
6097-EQISJ,66,102.45,One year,Credit card (automatic),6615.15,Yes,Churned,102.45
4423-YLHDV,21,104.40,Month-to-month,Bank transfer (automatic),2200.25,Yes,Churned,104.40
8158-WPEZG,11,35.65,Month-to-month,Electronic check,425.1,No,Active,0
0107-YHINA,1,99.75,Month-to-month,Electronic check,99.75,Yes,Churned,99.75
4918-FYJNT,55,90.45,Month-to-month,Electronic check,5044.8,No,Active,0
0727-BNRLG,69,97.65,Two year,Credit card (automatic),6743.55,No,Active,0
4854-CIDCF,3,73.85,Month-to-month,Electronic check,196.4,No,Active,0
8640-SDGKB,4,74.40,Month-to-month,Electronic check,299.7,Yes,Churned,74.40
3280-MRDOF,30,69.10,Two year,Credit card (automatic),2093.9,No,Active,0
6435-SRWBJ,5,82.75,Month-to-month,Electronic check,417.75,No,Active,0
9964-WBQDJ,71,24.40,Two year,Credit card (automatic),1725.4,No,Active,0
6303-KFWSL,29,55.25,One year,Electronic check,1620.2,No,Active,0
1702-CCFNJ,52,61.35,Month-to-month,Bank transfer (automatic),3169.55,No,Active,0
8932-CZHRQ,68,76.75,One year,Credit card (automatic),5233.25,No,Active,0
0386-CWRGM,46,19.40,Two year,Mailed check,967.85,No,Active,0
5515-RUGKN,8,54.75,Month-to-month,Credit card (automatic),438.05,No,Active,0
0404-AHASP,72,19.70,Two year,Credit card (automatic),1421.9,No,Active,0
7279-NMVJC,17,19.90,One year,Bank transfer (automatic),323.15,No,Active,0
2081-VEYEH,3,107.95,Month-to-month,Electronic check,318.6,No,Active,0
6407-UTSLV,2,83.80,Month-to-month,Bank transfer (automatic),163.7,No,Active,0
4116-TZAQJ,9,74.25,Month-to-month,Credit card (automatic),639.65,Yes,Churned,74.25
9060-HJJRW,51,56.40,One year,Credit card (automatic),2928.5,No,Active,0
2587-YNLES,6,20.10,Two year,Mailed check,100.35,No,Active,0
7398-SKNQZ,3,94.90,Month-to-month,Electronic check,273.2,No,Active,0
5935-FCCNB,17,94.20,Month-to-month,Electronic check,1608.15,No,Active,0
1958-RNRKS,30,49.90,Month-to-month,Electronic check,1441.95,No,Active,0
5136-RGMZO,31,71.05,Month-to-month,Electronic check,2168.15,No,Active,0
8345-MVDYC,45,81.65,Two year,Bank transfer (automatic),3618.7,No,Active,0
8226-BXGES,64,89.45,One year,Bank transfer (automatic),5692.65,No,Active,0
3877-JRJIP,1,59.85,Month-to-month,Electronic check,59.85,Yes,Churned,59.85
8375-DKEBR,1,69.60,Month-to-month,Electronic check,69.6,Yes,Churned,69.60
9705-IOVQQ,61,99.00,One year,Electronic check,5969.3,No,Active,0
1015-OWJKI,1,19.05,Month-to-month,Mailed check,19.05,No,Active,0
7511-YMXVQ,9,45.40,Month-to-month,Electronic check,418.8,Yes,Churned,45.40
2040-XBAVJ,72,114.45,Two year,Bank transfer (automatic),8100.55,No,Active,0
7551-JOHTI,1,19.50,Month-to-month,Mailed check,19.5,Yes,Churned,19.50
8887-IPQNC,7,44.25,Month-to-month,Mailed check,313.45,No,Active,0
8646-JCOMS,66,90.55,One year,Bank transfer (automatic),6130.95,No,Active,0
9804-ICWBG,1,69.90,Month-to-month,Electronic check,69.9,Yes,Churned,69.90
1222-KJNZD,40,20.40,Month-to-month,Bank transfer (automatic),745.3,No,Active,0
0106-GHRQR,16,71.40,Month-to-month,Bank transfer (automatic),1212.1,No,Active,0
5318-IXUZF,2,87.15,Month-to-month,Bank transfer (automatic),183.75,Yes,Churned,87.15
3768-VHXQO,67,24.85,Two year,Credit card (automatic),1583.5,No,Active,0
8952-WCVCD,41,104.45,One year,Bank transfer (automatic),4162.05,No,Active,0
2418-TPEUN,56,19.80,Two year,Credit card (automatic),1119.9,No,Active,0
3963-RYFNS,72,116.45,Two year,Bank transfer (automatic),8013.55,No,Active,0
3198-VELRD,3,84.75,Month-to-month,Bank transfer (automatic),264.85,Yes,Churned,84.75
8540-ZQGEA,54,20.05,Two year,Credit card (automatic),1102.4,No,Active,0
1320-REHCS,52,110.75,Month-to-month,Electronic check,5832,No,Active,0
4137-JOPHL,50,89.70,Two year,Bank transfer (automatic),4304.5,No,Active,0
9436-ZBZCT,14,89.95,Month-to-month,Electronic check,1178.4,Yes,Churned,89.95
7801-CEDNV,27,48.70,One year,Credit card (automatic),1421.75,No,Active,0
2057-BOYKM,72,96.60,Two year,Bank transfer (automatic),6827.5,No,Active,0
3658-QQJYD,62,74.30,One year,Credit card (automatic),4698.05,No,Active,0
1803-BGNBD,12,54.30,Month-to-month,Electronic check,654.5,No,Active,0
0134-XWXCE,44,74.85,One year,Bank transfer (automatic),3268.05,No,Active,0
6950-TWMYB,54,79.95,Two year,Bank transfer (automatic),4362.05,No,Active,0
5848-FHRFC,68,20.05,Two year,Bank transfer (automatic),1386.9,No,Active,0
2243-FNMMI,20,19.40,Month-to-month,Mailed check,415.4,No,Active,0
2511-MORQY,50,54.90,One year,Bank transfer (automatic),2614.1,No,Active,0
5356-KZCKT,58,24.45,Two year,Credit card (automatic),1513.6,No,Active,0
9470-XCCEM,35,89.65,Month-to-month,Bank transfer (automatic),3161.6,No,Active,0
6519-CFDBX,2,45.40,Month-to-month,Electronic check,80.95,No,Active,0
3902-MIVLE,63,75.70,Two year,Mailed check,4676.7,No,Active,0
0409-WTMPL,58,110.65,One year,Credit card (automatic),6526.65,No,Active,0
8763-KIAFH,27,20.55,One year,Mailed check,583.3,No,Active,0
3669-WHAFY,71,115.15,Two year,Credit card (automatic),8078.1,No,Active,0
3055-VTCGS,63,58.55,One year,Credit card (automatic),3503.5,No,Active,0
3144-KMTWZ,71,93.25,Month-to-month,Bank transfer (automatic),6669.45,No,Active,0
7279-BUYWN,41,113.20,Month-to-month,Electronic check,4689.5,Yes,Churned,113.20
7156-MHUGY,13,90.50,Month-to-month,Electronic check,1201.15,Yes,Churned,90.50
7198-GLXTC,2,79.00,Month-to-month,Electronic check,143.65,Yes,Churned,79.00
2007-QVGAW,68,19.35,Two year,Bank transfer (automatic),1292.65,No,Active,0
5207-PLSTK,1,48.75,Month-to-month,Mailed check,48.75,No,Active,0
2307-FYNNL,65,109.05,Two year,Electronic check,7108.2,No,Active,0
5605-XNWEN,72,25.00,Two year,Bank transfer (automatic),1802.55,No,Active,0
2155-AMQRX,28,54.90,Month-to-month,Credit card (automatic),1505.15,No,Active,0
6181-AXXYF,72,24.75,Two year,Credit card (automatic),1859.1,No,Active,0
5091-HFAZW,2,91.15,Month-to-month,Electronic check,168.5,No,Active,0
0516-VRYBW,18,20.15,One year,Bank transfer (automatic),390.85,Yes,Churned,20.15
2519-LBNQL,60,104.35,One year,Electronic check,6339.45,No,Active,0
8623-ULFNQ,26,66.05,Month-to-month,Electronic check,1652.4,No,Active,0
8380-PEFPE,1,71.65,Month-to-month,Electronic check,71.65,Yes,Churned,71.65
5687-DKDTV,4,20.35,Month-to-month,Mailed check,77.5,Yes,Churned,20.35
1568-LJSZU,68,92.20,Two year,Credit card (automatic),6392.85,No,Active,0
7530-HDYDS,38,84.25,Month-to-month,Credit card (automatic),3264.5,Yes,Churned,84.25
7789-HKSBS,42,105.20,One year,Bank transfer (automatic),4599.15,No,Active,0
7416-CKTEP,57,19.60,Two year,Bank transfer (automatic),1134.25,No,Active,0
2586-CWXVV,54,30.40,Month-to-month,Electronic check,1621.35,No,Active,0
3096-IZETN,12,78.10,Month-to-month,Bank transfer (automatic),947.3,Yes,Churned,78.10
2348-KCJLT,44,61.50,One year,Mailed check,2722.2,No,Active,0
8401-EMUWF,42,69.40,Month-to-month,Bank transfer (automatic),3058.3,No,Active,0
4193-IBKSW,72,24.75,Two year,Bank transfer (automatic),1769.6,No,Active,0
5377-NDTOU,71,91.05,Two year,Mailed check,6293.75,No,Active,0
5922-ABDVO,19,89.65,Month-to-month,Mailed check,1761.05,Yes,Churned,89.65
2474-LCNUE,23,73.65,Month-to-month,Credit card (automatic),1642.75,No,Active,0
0839-QNXME,30,19.40,Two year,Credit card (automatic),578.5,No,Active,0
3506-OVLKD,35,26.20,One year,Bank transfer (automatic),954.9,No,Active,0
9172-ANCRX,10,98.70,Month-to-month,Electronic check,973.25,Yes,Churned,98.70
6650-VJONK,1,43.85,Month-to-month,Bank transfer (automatic),43.85,No,Active,0
2178-PMGCJ,22,69.70,Month-to-month,Mailed check,1490.4,No,Active,0
7492-TAFJD,7,38.55,Two year,Mailed check,280,No,Active,0
2773-MADBQ,36,53.10,Two year,Mailed check,1901.25,No,Active,0
6016-LVTJQ,34,20.65,Month-to-month,Mailed check,716.4,No,Active,0
7860-KSUGX,72,64.45,Two year,Credit card (automatic),4720,No,Active,0
8966-KZXXA,36,25.10,Two year,Credit card (automatic),930.95,No,Active,0
6910-HADCM,1,76.35,Month-to-month,Electronic check,76.35,Yes,Churned,76.35
4816-LXZYW,23,79.15,Month-to-month,Electronic check,1676.95,Yes,Churned,79.15
9606-PBKBQ,32,85.00,Month-to-month,Electronic check,2642.05,Yes,Churned,85.00
5149-QYTTU,71,95.15,One year,Credit card (automatic),6770.85,No,Active,0
2070-XYMFH,23,79.35,Month-to-month,Mailed check,1835.3,No,Active,0
2085-BOJKI,17,96.65,One year,Bank transfer (automatic),1588.25,No,Active,0
0817-HSUSE,1,75.50,Month-to-month,Electronic check,75.5,No,Active,0
5442-PPTJY,12,19.70,Two year,Mailed check,258.35,No,Active,0
1927-QEWMY,72,20.50,Two year,Credit card (automatic),1502.25,No,Active,0
1663-MHLHE,1,19.20,Month-to-month,Mailed check,19.2,No,Active,0
5663-QBGIS,72,98.35,Two year,Bank transfer (automatic),6929.4,No,Active,0
4450-MDZFX,60,74.35,Month-to-month,Bank transfer (automatic),4453.3,No,Active,0
6701-DHKWQ,61,51.35,Two year,Credit card (automatic),3244.4,No,Active,0
7554-AKDQF,6,45.65,Month-to-month,Mailed check,323.45,No,Active,0
3536-IQCTX,32,85.30,Month-to-month,Electronic check,2661.1,Yes,Churned,85.30
4911-BANWH,31,86.55,Month-to-month,Credit card (automatic),2697.4,Yes,Churned,86.55
8496-EJAUI,19,73.85,Month-to-month,Credit card (automatic),1424.5,Yes,Churned,73.85
0794-YVSGE,72,20.30,Two year,Bank transfer (automatic),1401.15,No,Active,0
5423-BHIXO,32,54.20,Month-to-month,Electronic check,1739.6,No,Active,0
6908-VVYHM,65,90.65,Month-to-month,Electronic check,5931,No,Active,0
2959-EEXWB,45,50.90,Month-to-month,Bank transfer (automatic),2333.85,No,Active,0
1839-UMACK,42,25.05,One year,Electronic check,949.85,No,Active,0
3030-YDNRM,8,74.85,Month-to-month,Electronic check,572.45,No,Active,0
7321-KKSDU,32,20.50,Two year,Mailed check,696.8,No,Active,0
3402-XRIUO,22,63.55,Month-to-month,Mailed check,1381.8,No,Active,0
3132-TVFDZ,57,44.85,Month-to-month,Electronic check,2572.95,Yes,Churned,44.85
8286-AFUYI,1,47.95,Month-to-month,Electronic check,47.95,No,Active,0
8080-DDEMJ,1,45.10,Month-to-month,Electronic check,45.1,Yes,Churned,45.10
8356-WUAOJ,1,45.00,Month-to-month,Electronic check,45,No,Active,0
6365-MTGZX,24,96.00,Month-to-month,Electronic check,2122.45,Yes,Churned,96.00
1349-WXNGG,1,20.05,Month-to-month,Bank transfer (automatic),20.05,Yes,Churned,20.05
8058-DMYRU,54,90.05,Month-to-month,Electronic check,4931.8,No,Active,0
9350-ZXYJC,4,25.30,Two year,Credit card (automatic),116.95,No,Active,0
